county,distid,dist_name,instid,inst_name,inst_type,asian,black_african_american,hispanic_latino,american_indian_alaska_native,multi_racial,native_hawaiian_pacific_islander,white
Yamhill,2256,McMinnville SD 40,1230,Memorial Elementary School,School,NA,NA,6.8,NA,NA,NA,10.8
Yamhill,2256,McMinnville SD 40,1231,Newby Elementary School,School,NA,NA,5.6,NA,NA,NA,9.5
Yamhill,2256,McMinnville SD 40,1232,Wascher Elementary School,School,NA,NA,3.9,NA,NA,NA,5.8
Yamhill,2257,Sheridan SD 48J,1235,Faulconer-Chapman School,School,NA,NA,6.1,NA,NA,NA,2.6
Lane,2082,Eugene SD 4J,1240,Charlemagne French Immersion Elementary School,School,NA,NA,NA,NA,18.4,NA,15.3
Lane,2082,Eugene SD 4J,1241,Buena Vista Elementary School,School,NA,NA,10.2,NA,NA,NA,11.3
Lane,2082,Eugene SD 4J,1242,Corridor Elementary School,School,NA,NA,NA,NA,NA,NA,10
Marion,2142,Salem-Keizer SD 24J,1244,Chapman Hill Elementary School,School,NA,NA,2.5,NA,11.8,NA,6.8
Lane,2082,Eugene SD 4J,1259,Yujin Gakuen Elementary School,School,NA,NA,6.4,NA,10,NA,11.4
Wasco,4131,North Wasco County SD 21,1262,Mid-Columbia Alternative School Based Treatment Center (MAST,School,NA,NA,NA,NA,NA,NA,NA
Clackamas,1924,North Clackamas SD 12,1264,Mount Scott Elementary School,School,9.5,NA,6.2,NA,8,NA,8.4
Deschutes,1976,Bend-LaPine Administrative SD 1,1266,Three Rivers Elementary School,School,NA,NA,NA,NA,18.7,NA,9.1
Marion,2146,Woodburn SD 103,1267,Lincoln Elementary School,School,NA,NA,2.7,NA,NA,NA,8.1
Washington,2243,Beaverton SD 48J,1270,Sexton Mountain Elementary School,School,19.2,NA,7.3,NA,17.3,NA,13.9
Linn,2098,Linn Benton Lincoln ESD,1271,Old Mill Center for Children & Families,School,NA,NA,NA,NA,NA,NA,NA
Clackamas,1922,West Linn-Wilsonville SD 3J,1272,Boeckman Creek Primary School,School,NA,NA,4,NA,8.3,NA,12
Jackson,2025,Southern Oregon ESD,1275,Family Solutions - Grants Pass,School,NA,NA,NA,NA,NA,NA,NA
Multnomah,2180,Portland SD 1J,1278,Markham Elementary School,School,9,9.1,4.3,NA,NA,NA,11.5
Washington,2239,Hillsboro SD 1J,1285,Jackson Elementary School,School,NA,NA,5.3,NA,11.2,NA,12.3
Clackamas,1922,West Linn-Wilsonville SD 3J,1286,Willamette Primary School,School,NA,NA,NA,NA,NA,NA,9.9
Clackamas,1923,Lake Oswego SD 7J,1288,Oak Creek Elementary School,School,12.8,NA,NA,NA,13.2,NA,12.4
Lake,2061,North Lake SD 14,1289,North Lake School,School,NA,NA,NA,NA,NA,NA,4.6
Lane,2091,Junction City SD 69,1297,Territorial Elementary School,School,NA,NA,NA,NA,NA,NA,10.1
Multnomah,2180,Portland SD 1J,1299,Rieke Elementary School,School,NA,NA,NA,NA,NA,NA,14.8
Washington,2239,Hillsboro SD 1J,1302,Tobias Elementary School,School,6.3,NA,3.1,NA,NA,NA,9.7
Washington,2243,Beaverton SD 48J,1303,Nancy Ryles Elementary School,School,12.8,NA,10.1,NA,11.1,NA,15.2
Clackamas,1929,Canby SD 86,1307,Cecile Trost Elementary School,School,NA,NA,2.7,NA,NA,NA,10.6
Deschutes,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,School,NA,NA,8.7,NA,NA,NA,9.9
